AC_SERIAL,FAULT_DATE,FAULT_LINE_TEXT,FAULT_ID,ACTION_DATE,ACTION_TEXT,REMOVED_PART_NUMBER,REMOVED_PART_SERIAL,INSTALLED_PART_NUMBER,INSTALLED_PART_SERIAL,WDC,WDC Description,TMC,TMC Description,ATC,ATC Description,HMC,HMC Description,P
929107.0,2010-04-02,BACKSHELL FOR #2 START VALVE CONNECTOR DAMAGED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,38539,2010-04-02,BACKSHELL ON #2 START VALVE CONNECTOR REPLACED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,311,"DAMAGED/DEFECTIVE COMPONENT, BULB, TRANSISTER, IC, FUSE, ECT",0
601283.0,2007-07-24,BAGGAGE COMPARTMENT UPPER DOOR WILL NOT LOCK IN THE OPEN POSITION WHENHELICOPTER RUNNING ON DECK                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,37997,2007-07-24,UPPER DOOR PIN RECEPTICLE ADJUSTED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",70,BROKEN,0
537340.0,2009-02-25,BILFILAR REMOVED FOR SHIPPING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,38296,2009-02-25,BIFILAR INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT,0
458276.0,2011-01-20,BIRD STRIKE IN FLIGHT. PILOT SIDE WINDOW.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,38515,2011-01-20,POST BIRD STRIKE INSP C/O. WSP 1342781.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",303,BIRD DAMAGE,0
593535.0,2011-08-04,BIRD STRIKE ON YELLOW BLADE 3FT FROM TIP ON LEADING EDGE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,38103,2011-08-04,POST BIRD STRIKE INSPECTION C/O. NO DAMAGE OR ANOMALIES FOUND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,303,BIRD DAMAGE,0
906577.0,2005-09-28,BLACK BLADE DAMPER ASSY OUTBOARD ROD END REMOVED FROM MAIN ROTOR YOKEFOR INSPECTION.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,38435,2005-09-28,INSPECTION COMPLIED WITH. ROD END RE-INSTALLED NO FAULT FOUND.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,,,,,M,PERIODIC/SCHEDULED INSP,P,PERIODIC/PHASED INSPECTION,X,TEST - INSPECT - SERVICE,798,NO DEFECT TCTO COMPLIED WITH BY RECORDS CHECK OR INSPECTION,0
215297.0,2009-01-25,BLACK M/R DAMPER ROD END CRACKED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,38244,2009-01-25,BLACK M/R DAMPER ROD END REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,190,CRACKED,1
215297.0,2008-10-11,BLACK T/R BLADE REMOVED TO SERVICE ZCH,37863,2008-10-16,T/R BLADE INSTALLED,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT,0
215297.0,2008-12-23,BLU M/R DAMPER INNER ROD END CRACKED BEYOND LIMITS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,38081,2008-12-23,M/R DAMPER ASSY REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,190,CRACKED,1
906577.0,2005-09-28,BLUE BLADE DAMPER ASSY OUTBOARD ROD END REMOVED FROM MAIN ROTOR YOKE FORINSPECTION.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,38437,2005-09-28,INSPECTION COMPLIED WITH ROD END RE-INSTALLED NO FAULT FOUND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,,,,,M,PERIODIC/SCHEDULED INSP,P,PERIODIC/PHASED INSPECTION,X,TEST - INSPECT - SERVICE,798,NO DEFECT TCTO COMPLIED WITH BY RECORDS CHECK OR INSPECTION,0
601283.0,2007-10-19,BLUE BLADE REMOVED TO SERVICE MCH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,38453,2007-10-19,BLADE REMOVED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",70,BROKEN,0
593535.0,2011-09-06,BLUE INBOARD DAMPER MOUNT WORN.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,38219,2011-09-06,BLUE M/R DAMPER REPLACED. WSP 1348470                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,20,"CUT, WORN, FRAYED, CHAFFED, OR TORN",0
659306.0,2008-08-06,BLUE M/R DEICE HARNESS ATTACH BRACKET REMOVED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,38259,2008-08-06,WASHER INSTALLED BOLT TQ & SAFTED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT,0
628724.0,2010-08-03,BLUE SKY (SAT TRACKING) U/S                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,37782,2010-08-03,BLUE SKY FUNCTION CHECKED SERVICEABLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,70,BROKEN,0
387821.0,2006-07-27,BLUE SKY FLIGHT FOLLOWING/SATCOM INSTALLATION TO BE COMPLIED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,37812,2006-07-27,BLUE SKY FLIGHT FOLLOWING/SATCOM SYSTEMS INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT,3
659306.0,2008-01-10,BLUE T/R BLADE REMOVED U/SPIVOT BEARING DE-BONDED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,37788,2008-01-10,T/R BLADE INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT,1
841501.0,2010-11-02,"BLUESKY FLIGHT FOLLOWING MODEM UNIT REMOVED. MEL 23-14 CAT C, 10 DAYS.",38304,2010-12-20,MISSED ENTRY. C/F. WSP 3042073. BLUESKY FLIGHT FOLLOWING MODEN UNITINSTALLED.,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT,0
387821.0,2006-12-06,BMS CAUTION SEGMENT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,38356,2006-12-06,BMS RESET SYSTEM GROUND CHECKED SERVICEABLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,70,BROKEN,0
387821.0,2007-01-25,BMS L/T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,38615,2007-01-25,BMS SYSTEM RESET VIB LEVEL INDICATED AT LEVEL 1 INSPECTION COMPLETEDIAW E92-720-35-095                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,70,BROKEN,0
387821.0,2006-12-13,BMS U/S                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,38418,2006-12-13,BMS RESET FUNCTION CHECKED SERVICEABLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,70,BROKEN,0
215297.0,2008-10-27,BMU TO BE REPLACED DUE CONSTANT RESET PROBLEMS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,37889,2008-10-27,BMU REPLACED FUNCTION CHECKED SERVICEABLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,70,BROKEN,1
215297.0,2008-11-19,BMU WILL ONLY INTERMITTENTLY RESET MAINTENANCE DISPLAYED ON HEALTH PAGEAND DEPRESSING RESET WILL NOT ALWAYS RESET IT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,37950,2008-11-19,BMU SWAPPED WITH BMU FROM GSCH FOR T/S                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE,1
387821.0,2006-12-25,BONDING JUMPER BROKEN ON BLACK TR BLADE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,38467,2006-12-25,REPLACED BONDING JUMPER ON BLACK BLADE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,70,BROKEN,0
