AC_SERIAL,FAULT_DATE,FAULT_LINE_TEXT,FAULT_ID,ACTION_DATE,ACTION_TEXT,REMOVED_PART_NUMBER,REMOVED_PART_SERIAL,INSTALLED_PART_NUMBER,INSTALLED_PART_SERIAL,WDC,WDC Description,TMC ,TMC Description,ATC,ATC Description,HMC,HMC Description
601283.0,2007-10-27,#5 VCAS Mechanical Unit Leaking Fluid.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,38482.0,2007-10-27,Removed: 20021-04000-984  004B-39050  Installed: 20021-04000-984  0007-63B09,20021-04000-984     ,004B-39050     ,20021-04000-984     ,0007-63B09     ,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,381,"LEAKING, INTERNAL OR EXTERNAL"
601283.0,2007-10-27,#5 VCAS Mechanical Unit Leaking Fluid.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,38482.0,2007-10-27,#5 VCAS MEchanical Unit removed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",381,"LEAKING, INTERNAL OR EXTERNAL"
537340.0,2009-02-25,1 TRB REMOVED FOR SHIPPING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,38293.0,2009-02-25,TRB INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
841501.0,2012-06-14,250HR HORIZONTAL STABILIZER INSP DUE & T/R PYLON HORIZONTAL STAB ATTACHFITTINGS INSP DUE,37758.0,2012-06-14,250HR HORIZONTAL STABILIZER INSP & T/R PYLON HORIZONTAL STAB ATTACHFITTINGS C/W,,,,,M,PERIODIC/SCHEDULED INSP,P,PERIODIC/PHASED INSPECTION,G,"REPAIR OF MINOR PARTS, H/W OR S/W",644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
929107.0,2009-10-22,3 CONTACTORS TO BE INSTALLED ON #1 AC PALLET                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,37789.0,2009-10-22,3 CONTACTORS INSTALLED ON #1 AC PALLET                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
659306.0,2010-12-17,4 LIFE VESTS REQUIRE INST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,37781.0,2010-12-17,LIFEVEST INSTALLED. WSP 3042139.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
215297.0,2008-09-17,4 M/R PITCH LINKS REMOVED TO SERVICE ZCH,37757.0,2008-09-27,4 M/R PITCH LINKS INSTALLED,,,,,Q,SPECIAL INSPECTION,P,PERIODIC/PHASED INSPECTION,S,REMOVE AND REINSTALL,800,"NO DEFECT, REMOVED/REINSTALLED TO FACILITATE OTHER MAINTENAN"
215297.0,2008-09-17,4 M/R PITCH LINKS REMOVED TO SERVICE ZCH,37757.0,2008-09-17,Installed: 11002-41900-235  0E39-00516,,,11002-41900-235,0E39-00516,Q,SPECIAL INSPECTION,P,PERIODIC/PHASED INSPECTION,S,REMOVE AND REINSTALL,800,"NO DEFECT, REMOVED/REINSTALLED TO FACILITATE OTHER MAINTENAN"
215297.0,2008-09-17,4 M/R PITCH LINKS REMOVED TO SERVICE ZCH,37757.0,2008-09-17,Installed: 11002-41900-235  E000-59513,,,11002-41900-235,E000-59513,Q,SPECIAL INSPECTION,P,PERIODIC/PHASED INSPECTION,S,REMOVE AND REINSTALL,800,"NO DEFECT, REMOVED/REINSTALLED TO FACILITATE OTHER MAINTENAN"
215297.0,2008-09-17,4 M/R PITCH LINKS REMOVED TO SERVICE ZCH,37757.0,2008-09-17,Installed: 11002-41900-235  E000-59513,,,11002-41900-235     ,E000-59513     ,Q,SPECIAL INSPECTION,P,PERIODIC/PHASED INSPECTION,S,REMOVE AND REINSTALL,800,"NO DEFECT, REMOVED/REINSTALLED TO FACILITATE OTHER MAINTENAN"
215297.0,2008-09-17,4 M/R PITCH LINKS REMOVED TO SERVICE ZCH,37757.0,2008-09-17,Installed: 11002-41900-235  6010-390E0,,,11002-41900-235,6010-390E0,Q,SPECIAL INSPECTION,P,PERIODIC/PHASED INSPECTION,S,REMOVE AND REINSTALL,800,"NO DEFECT, REMOVED/REINSTALLED TO FACILITATE OTHER MAINTENAN"
537340.0,2009-03-22,4 MAIN ROTOR BLADES REMOVED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,38419.0,2009-03-22,4 M/R BLADES RE-INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
537340.0,2009-04-01,4 MAIN ROTOR BLADES REMOVED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,38442.0,2009-04-01,4 MAIN ROTOR BLADES INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
537340.0,2009-04-01,4 MAIN ROTOR BLADES REMOVED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,38442.0,2009-04-01,Removed: 29405-00102-090  0041-0A404  Installed: 29405-00102-090  0041-0A404,29405-00102-090,0041-0A404,29405-00102-090,0041-0A404,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
537340.0,2009-04-01,4 MAIN ROTOR BLADES REMOVED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,38442.0,2009-04-01,Removed: 29405-00102-090  1000-144A4  Installed: 29405-00102-090  1000-144A4,29405-00102-090,1000-144A4,29405-00102-090,1000-144A4,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
537340.0,2009-04-01,4 MAIN ROTOR BLADES REMOVED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,38442.0,2009-04-01,Removed: 29405-00102-090  00A4-01244  Installed: 29405-00102-090  00A4-01244,29405-00102-090     ,00A4-01244     ,29405-00102-090     ,00A4-01244     ,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
537340.0,2009-04-01,4 MAIN ROTOR BLADES REMOVED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,38442.0,2009-04-01,Removed: 29405-00102-090  00A4-01244  Installed: 29405-00102-090  00A4-01244,29405-00102-090,00A4-01244,29405-00102-090,00A4-01244,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
537340.0,2009-02-25,4 MRB'S REMOVED FOR SHIPPING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,38292.0,2009-02-25,Installed: 29405-00102-090  0041-0A404,,,29405-00102-090,0041-0A404,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
537340.0,2009-02-25,4 MRB'S REMOVED FOR SHIPPING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,38292.0,2009-02-25,Installed: 29405-00102-090  00A4-01244,,,29405-00102-090,00A4-01244,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
537340.0,2009-02-25,4 MRB'S REMOVED FOR SHIPPING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,38292.0,2009-02-25,4 MRB'S INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
537340.0,2009-02-25,4 MRB'S REMOVED FOR SHIPPING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,38292.0,2009-02-25,Installed: 29405-00102-090  1000-144A4,,,29405-00102-090,1000-144A4,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
537340.0,2009-02-25,4 MRB'S REMOVED FOR SHIPPING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,38292.0,2009-02-25,Installed: 29405-00102-090  00A4-01244,,,29405-00102-090     ,00A4-01244     ,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
215297.0,2008-12-13,"A/C DEGRADED IN ROLL CHANNEL DURING, LNAV AND HEADING SELECTIONS. IT ISDEGRADED IN PITCH AND ROLL AXIS DURING ILS SELECTIONS(LOC & G/S)REMAINYELLOW IN COLOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",38123.0,2008-12-13,MBIT & PBIT CARRIED OUT GROUND CHECKED SERVICABLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
537340.0,2009-05-14,A/C NOT WORKING VERY LOW FLOW FROM CABIN VENTS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,38629.0,2009-05-14,CABIN FRESH AIR VALVE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
929107.0,2010-01-17,A/C REQUIRES T/R TRACK AND BALANCE FOR TAIL ROTOR BOOT REPLACEMENT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,38147.0,2010-01-17,TAIL ROTOR TRACK AND BALANCE CARRIED OUT SERV 0.11 IPS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
387821.0,2006-12-14,ADC #2 FAILED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,38413.0,2006-12-14,SYSTEM RESET GROUND CHECKED SERVICEABLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
387821.0,2006-09-29,AFCS CONTROL PANEL TO BE INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,37998.0,2006-09-29,AFCS CONTROL PANEL INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
387821.0,2006-09-29,AFCS CONTROL PANEL TO BE REMOVED TO SERVICE SCH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,38002.0,2006-09-29,CONTROL PANEL REMOVED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
387821.0,2006-10-01,AFCS CONTROL PANEL TO BE REMOVED TO SERVICE SCH.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,38008.0,2006-10-01,AFCS CONTROL PANEL REMOVED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
387821.0,2007-01-03,AFCS DFLT AND MBIT TEST FAIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,38504.0,2007-01-03,WIRING SWITCHES SECURED AFCS FUNCTION CHECKED SERVICEABLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
